Journal Name,Abbreviation,Subject Area,Scope,Keywords,Impact Factor,Submission Types,Open Access,URL,ISSN (Print),ISSN (Electronic),Description
Advanced Optical Technologies,Adv. Opt. Technol.,Life Sciences,Optical engineering and photonic technologies,Optics; Photonics; Optical engineering; Laser systems; Optical devices,3,Research Article; Review; Perspective,Yes,https://www.frontiersin.org/journals/advanced-optical-technologies,,2192-8584,An open-access journal publishing cutting-edge research in optical technologies and photonic engineering
Frontiers for Young Minds,Front. Young Minds,General / Young Minds,Science education and outreach for young audiences,Science education; STEM; Youth engagement; Scientific communication; Learning,,Review; Educational article,Yes,https://www.frontiersin.org/journals/young-minds,,2296-6846,A peer-reviewed open-access journal that makes science accessible to young readers through engaging articles written by researchers
Frontiers in Acoustics,Front. Acoust.,Life Sciences,Acoustic science and engineering,Acoustics; Sound engineering; Noise control; Audio systems; Vibration analysis,,Research Article; Review; Perspective,Yes,https://www.frontiersin.org/journals/acoustics,,2813-8082,Covers all aspects of acoustic science and engineering from fundamental research to practical applications
Frontiers in Adolescent Medicine,Front. Adolesc. Med.,Medicine & Health,Clinical care and research in adolescent health,Adolescent health; Pediatric medicine; Clinical practice; Mental health; Development,,Research Article; Review; Case Study,Yes,https://www.frontiersin.org/journals/adolescent-medicine,,2813-8589,Dedicated to advancing research and clinical practice in adolescent and young adult medicine
Frontiers in Aerospace Engineering,Front. Aerosp. Eng.,Engineering & Technology,Aerospace design and engineering,Aerospace; Flight dynamics; Aircraft design; Space systems; Propulsion,,Research Article; Review; Perspective,Yes,https://www.frontiersin.org/journals/aerospace-engineering,,2813-2831,Publishes research on aerospace systems including design control and operations
Frontiers in Aging,Front. Aging,Life Sciences,Aging biology and gerontology,Aging; Longevity; Age-related disease; Cellular aging; Senescence,4.3,Research Article; Review; Perspective,Yes,https://www.frontiersin.org/journals/aging,,2673-6217,An emerging leader in aging research covering biological cellular and systemic aspects of aging
Frontiers in Aging Neuroscience,Front. Aging Neurosci.,Life Sciences,Neuroscience of aging and age-related neurological conditions,Aging; Neurodegeneration; Cognitive aging; Dementia; Neuroprotection,4.5,Research Article; Review; Perspective,Yes,https://www.frontiersin.org/journals/aging-neuroscience,1663-4365,1663-4365,Explores the intersection of neuroscience and aging with research on age-related neurological changes and disorders
Frontiers in Agronomy,Front. Agron.,Life Sciences,Crop production and agricultural science,Agronomy; Crop science; Soil management; Plant breeding; Sustainable agriculture,4.1,Research Article; Review; Perspective,Yes,https://www.frontiersin.org/journals/agronomy,,2673-3218,Publishes research on crop production soil management and sustainable agricultural practices
Frontiers in Allergy,Front. Allergy,Medicine & Health,Allergic diseases and immunology,Allergy; Immunology; Food allergy; Asthma; Allergic reactions,3.1,Research Article; Review; Case Report,Yes,https://www.frontiersin.org/journals/allergy,,2673-6101,Focuses on allergic diseases immunological mechanisms and clinical management strategies
Frontiers in Amphibian and Reptile Science,Front. Amphib. Reptile Sci.,Life Sciences,Herpetology and amphibian/reptile biology,Herpetology; Amphibian conservation; Reptile biology; Biodiversity; Zoology,,Research Article; Review; Perspective,Yes,https://www.frontiersin.org/journals/amphibian-and-reptile-science,,2813-6780,Dedicated to research on amphibians and reptiles including conservation ecology and biology
Frontiers in Analytical Science,Front. Anal. Sci.,Engineering & Technology,Analytical chemistry and laboratory methods,Analytical chemistry; Chromatography; Mass spectrometry; Analytical methods; Detection,1.9,Research Article; Review; Methodology,Yes,https://www.frontiersin.org/journals/analytical-science,,2673-9283,Covers analytical techniques and methods for chemical and biochemical analysis
Frontiers in Anesthesiology,Front. Anesthesiol.,Medicine & Health,Anesthesia and perioperative medicine,Anesthesia; Anesthetics; Pain management; Perioperative care; Clinical anesthesia,,Research Article; Review; Case Report,Yes,https://www.frontiersin.org/journals/anesthesiology,,2813-480X,Publishes research and clinical advances in anesthesia and perioperative medicine
Frontiers in Animal Science,Front. Anim. Sci.,Life Sciences,Animal biology and agricultural science,Animal science; Livestock; Animal behavior; Zootechnology; Animal welfare,2.4,Research Article; Review; Perspective,Yes,https://www.frontiersin.org/journals/animal-science,,2673-6225,Covers all aspects of animal science from production to behavior and welfare
Frontiers in Antennas and Propagation,Front. Antennas Propag.,Engineering & Technology,Antenna design and electromagnetic wave propagation,Antennas; Electromagnetics; Signal propagation; Wireless communication; RF engineering,,Research Article; Review; Perspective,Yes,https://www.frontiersin.org/journals/antennas-and-propagation,,2813-4680,Focuses on antenna design and electromagnetic wave propagation for communications
Frontiers in Antibiotics,Front. Antibiot.,Life Sciences,Antimicrobial agents and antibiotic resistance,Antibiotics; Antimicrobial resistance; Drug development; Infectious disease; Microbiology,,Research Article; Review; Perspective,Yes,https://www.frontiersin.org/journals/antibiotics,,2813-2467,Addresses antibiotic development resistance mechanisms and clinical applications
Frontiers in Applied Mathematics and Statistics,Front. Appl. Math. Stat.,Engineering & Technology,Applied mathematics and statistical methods,Mathematics; Statistics; Computational methods; Mathematical modeling; Data analysis,1.5,Research Article; Review; Methodology,Yes,https://www.frontiersin.org/journals/applied-mathematics-and-statistics,,2297-4687,Publishes mathematical and statistical methods with applications across disciplines
Frontiers in Aquaculture,Front. Aquac.,Life Sciences,Fish farming and aquatic organism cultivation,Aquaculture; Fish farming; Aquatic breeding; Sustainable aquaculture; Seafood production,,Research Article; Review; Perspective,Yes,https://www.frontiersin.org/journals/aquaculture,,2813-5334,Covers all aspects of aquaculture including production sustainability and disease management
